Sl-No,Mole_frac_water,Temperature,Pressure,Activityt_water,Delta[Act]_comp0,Comp0,Comp1,Ref,IL_SMILES,Cation_SMILES,Anion_SMILES,MolecularFormula,C,H,N,O,S,P,F,Cl,Br,I
0,0.2022,288.05,100,0.0546,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
1,0.2022,293.11,100,0.0575,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
2,0.2022,298.07,100,0.0589,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
3,0.2022,303.02,100,0.0588,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
4,0.2022,308,100,0.0598,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
5,0.2022,313.01,100,0.0597,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
6,0.2022,318.03,100,0.061,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
7,0.252,288.08,100,0.0722,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
8,0.252,293.08,100,0.0745,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
9,0.252,298.09,100,0.0755,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
10,0.252,303.06,100,0.0757,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
11,0.252,308.04,100,0.077,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
12,0.252,313.02,100,0.0772,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
13,0.252,318.02,100,0.0787,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
14,0.2986,288.11,100,0.0996,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
15,0.2986,293.11,100,0.1023,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
16,0.2986,298.11,100,0.1039,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
17,0.2986,303.07,100,0.1043,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
18,0.2986,308.04,100,0.1059,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
19,0.2986,313.02,100,0.1063,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
20,0.2986,318.03,100,0.1081,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
21,0.4028,288.12,100,0.1687,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
22,0.4028,293.12,100,0.1717,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
23,0.4028,298.12,100,0.1739,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
24,0.4028,303.07,100,0.175,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
25,0.4028,308.07,100,0.1773,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
26,0.4028,313.05,100,0.1782,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
27,0.4028,318.05,100,0.1806,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
28,0.4993,288.13,100,0.2647,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
29,0.4993,293.13,100,0.268,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
30,0.4993,298.12,100,0.2707,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
31,0.4993,303.1,100,0.2727,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
32,0.4993,308.09,100,0.2755,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
33,0.4993,313.06,100,0.2768,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
34,0.4993,318.06,100,0.2796,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
35,0.5896,288.16,100,0.3855,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
36,0.5896,293.16,100,0.3895,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
37,0.5896,298.16,100,0.3924,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
38,0.5896,303.12,100,0.395,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
39,0.5896,308.1,100,0.3976,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
40,0.5896,313.07,100,0.3992,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
41,0.5896,318.08,100,0.4019,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
42,0.7052,288.16,100,0.5864,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
43,0.7052,293.17,100,0.5897,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
44,0.7052,298.18,100,0.5915,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
45,0.7052,303.13,100,0.5938,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
46,0.7052,308.12,100,0.5957,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
47,0.7052,313.1,100,0.5966,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
48,0.7052,318.11,100,0.5976,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
49,0.7462,288.17,100,0.6784,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
50,0.7462,293.17,100,0.6814,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
51,0.7462,298.17,100,0.6824,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
52,0.7462,303.13,100,0.6843,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
53,0.7462,308.12,100,0.6846,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
54,0.7462,313.09,100,0.6851,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
55,0.7462,318.1,100,0.6853,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
56,0.798,288.17,100,0.7806,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
57,0.798,293.18,100,0.7813,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
58,0.798,298.19,100,0.7819,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
59,0.798,303.14,100,0.7829,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
60,0.798,308.13,100,0.7826,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
61,0.798,313.11,100,0.7827,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
62,0.798,318.12,100,0.7818,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
63,0.9058,288.17,100,0.9375,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
