IL_SMILES,NAME,ARTICLEID,IL-Tm (deg-C),IL-Tm (K),MolecularFormula,C,H,N,O,S,P,F,Cl,Br,I,Si
O=S(=O)([O-])O.c1c[nH+]c[nH]1,Imidazolium  hydrogen sulfate,A130340,85,358.15,C3H6N2O4S,3,6,2,4,1,0,0,0,0,0,0
CS(=O)(=O)[O-].c1c[nH+]c[nH]1,Imidazolium methanesulfonate,A130385,188,461.15,C4H8N2O3S,4,8,2,3,1,0,0,0,0,0,0
O=S([O-])(C(F)(F)F)=O.C1=C[NH+]=CN1,imidazolium triflate,A130387,122.9,396.05,C4H5F3N2O3S,4,5,2,3,1,0,3,0,0,0,0
O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.c1c[nH+]c[nH]1,imidazolium bis(trifluoromethanesulfonyl)imide [[Im]/[HTFSI]],A130393,73,346.15,C5H5F6N3O4S2,5,5,3,4,2,0,6,0,0,0,0
F[B-](F)(F)F.c1c[nH+]c[nH]1,imidazolium tetrafluoroborate [ImBF4],A130387,131.2,404.35,C3H5BF4N2,3,5,2,0,0,0,4,0,0,0,0
Cn1cc[nH+]c1.O=S(=O)([O-])O,1-Methylimidazolium hydrogen sulfate,A130453,20.88,294.03,C4H8N2O4S,4,8,2,4,1,0,0,0,0,0,0
CCn1cc[nH+]c1.CS(=O)(=O)[O-],1-ethyl-1H-imidazol-3-ium mesylate,A130471,59,332.15,C6H12N2O3S,6,12,2,3,1,0,0,0,0,0,0
CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethylimidazolium bis-(trifluoromethanolsulfonyl)imide,A130474,5,278.15,C7H9F6N3O4S2,7,9,3,4,2,0,6,0,0,0,0
CCCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-propylimidazolium bis-(trifluoromethanolsulfonyl)imide,A130408,7.49,280.64,C8H11F6N3O4S2,8,11,3,4,2,0,6,0,0,0,0
C[NH3+].O=S(=O)([O-])O,methylammonium hydrogen sulfate,A130387,73.2,346.35,CH7NO4S,1,7,1,4,1,0,0,0,0,0,0
CS(=O)(=O)[O-].C[NH3+],methylammonium methane sulfonate,A130387,91,364.15,C2H9NO3S,2,9,1,3,1,0,0,0,0,0,0
C[NH3+].O=C([O-])C(F)(F)F,methylammonium trifluoroacetate,A130563,61,334.15,C3H6F3NO2,3,6,1,2,0,0,3,0,0,0,0
C[NH3+].F[B-](F)(F)F,methylammmonium tetrafluoroborate,A130387,77.1,350.25,CH6BF4N,1,6,1,0,0,0,4,0,0,0,0
C[NH3+].O=[N+]([O-])[O-],methylammmonium nitrate,A130563,111,384.15,CH6N2O3,1,6,2,3,0,0,0,0,0,0,0
C[NH3+].O=P([O-])(O)O,methylammmonium dihydrogen phosphate,A130387,96.8,369.95,CH8NO4P,1,8,1,4,0,1,0,0,0,0,0
C[NH3+].[Br-],Methylammonium bromide,A130581,237,510.15,CH6BrN,1,6,1,0,0,0,0,0,1,0,0
CC[NH3+].CS(=O)(=O)[O-],ethylammonium methane sulfonate,A130387,112.5,385.65,C3H11NO3S,3,11,1,3,1,0,0,0,0,0,0
CC[NH3+].O=S(=O)([O-])C(F)(F)F,ethylammonium triflate,A130585,173,446.15,C3H8F3NO3S,3,8,1,3,1,0,3,0,0,0,0
CC[NH3+].O=C([O-])C(F)(F)F,ethylammonium trifluoroacetate,A130563,58,331.15,C4H8F3NO2,4,8,1,2,0,0,3,0,0,0,0
CC[NH3+].F[B-](F)(F)F,ethylammmonium tetrafluoroborate,A130387,152.4,425.55,C2H8BF4N,2,8,1,0,0,0,4,0,0,0,0
CC[NH3+].O=P([O-])(O)O,ethylammmonium dihydrogen phosphate,A130578,134,407.15,C2H10NO4P,2,10,1,4,0,1,0,0,0,0,0
CC[NH3+].[Cl-],Ethylammonium chloride,A130592,109,382.15,C2H8ClN,2,8,1,0,0,0,0,1,0,0,0
CCC[NH3+].O=S(=O)([O-])O,propylammonium hydrogen sulfate,A130387,33.9,307.05,C3H11NO4S,3,11,1,4,1,0,0,0,0,0,0
CCC[NH3+].O=S(=O)([O-])C(F)(F)F,propylammonium triflate,A130585,176,449.15,C4H10F3NO3S,4,10,1,3,1,0,3,0,0,0,0
CCC[NH3+].O=P([O-])(O)O,propylammonium dihydrogen phosphate,A130387,145.6,418.75,C3H12NO4P,3,12,1,4,0,1,0,0,0,0,0
CCC[NH3+].[Br-],propylaminium bromide,A130582,186.2,459.35,C3H10BrN,3,10,1,0,0,0,0,0,1,0,0
CCCC[NH3+].O=S(=O)([O-])O,butylammonium hydrogen sulfate,A130387,33.5,306.65,C4H13NO4S,4,13,1,4,1,0,0,0,0,0,0
CCCC[NH3+].CS(=O)(=O)[O-],butylammonium methane sulfonate,A130387,131.8,404.95,C5H15NO3S,5,15,1,3,1,0,0,0,0,0,0
CCCC[NH3+].O=S(=O)([O-])C(F)(F)F,butylammonium triflate,A130585,178,451.15,C5H12F3NO3S,5,12,1,3,1,0,3,0,0,0,0
CCCC[NH3+].O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butylammonium bis(trifluoromethanesulfonyl)amine,A130605,20,293.15,C6H12F6N2O4S2,6,12,2,4,2,0,6,0,0,0,0
CCCC[NH3+].F[B-](F)(F)F,butylammonium tetrafluoroborate,A130387,198.2,471.35,C4H12BF4N,4,12,1,0,0,0,4,0,0,0,0
CCCC[NH3+].O=[N+]([O-])[O-],butylammonium nitrate,A130618,30,303.15,C4H12N2O3,4,12,2,3,0,0,0,0,0,0,0
CCCC[NH3+].O=P([O-])(O)O,butylammonium dihydrogen phosphate,A130387,113.3,386.45,C4H14NO4P,4,14,1,4,0,1,0,0,0,0,0
CCCC[NH3+].[Br-],butylammonium bromide,A130594,205,478.15,C4H12BrN,4,12,1,0,0,0,0,0,1,0,0
C[NH2+]C.O=S(=O)([O-])O,dimethylammonium hydrogen sulfate,A130387,40.1,313.25,C2H9NO4S,2,9,1,4,1,0,0,0,0,0,0
CS(=O)(=O)[O-].C[NH2+]C,dimethylammonium methane sulfonate,A130387,122.1,395.25,C3H11NO3S,3,11,1,3,1,0,0,0,0,0,0
C[NH2+]C.O=S(=O)([O-])C(F)(F)F,dimethylammonium triflate,A130585,114,387.15,C3H8F3NO3S,3,8,1,3,1,0,3,0,0,0,0
C[NH2+]C.O=C[O-],dimethylammonium formate,A130563,-13,260.15,C3H9NO2,3,9,1,2,0,0,0,0,0,0,0
C[NH2+]C.O=[N+]([O-])[O-],Dimethylammonium nitrate,A130387,75,348.15,C2H8N2O3,2,8,2,3,0,0,0,0,0,0,0
C[NH2+]C.O=P([O-])(O)O,dimethylammonium dihydrogen phosphate,A130387,117.3,390.45,C2H10NO4P,2,10,1,4,0,1,0,0,0,0,0
CC[NH2+]CC.O=S(=O)([O-])C(F)(F)F,Diethylammonium trifluoromethanesulfonate,A130585,127,400.15,C5H12F3NO3S,5,12,1,3,1,0,3,0,0,0,0
CC[NH2+]CC.O=[N+]([O-])[O-],Diethylammonium nitrate,A130588,96,369.15,C4H12N2O3,4,12,2,3,0,0,0,0,0,0,0
CC[NH2+]CC.O=P([O-])(O)O,Diethylammonium dihydrogen phosphate,A130629,148,421.15,C4H14NO4P,4,14,1,4,0,1,0,0,0,0,0
CC[NH2+]CC.[Br-],Diethylammonium bromide,A130628,208,481.15,C4H12BrN,4,12,1,0,0,0,0,0,1,0,0
CC[NH2+]CC.[Cl-],Diethylammonium chloride,A130592,220,493.15,C4H12ClN,4,12,1,0,0,0,0,1,0,0,0
CCCCCCCC[n+]1cc[nH]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,[C8im][Tf2N]; 1-Octylimidazolium bis(trifluoromethylsulfonyl)imide,A131928,-0.75,272.4,C13H21F6N3O4S2,13,21,3,4,2,0,6,0,0,0,0
