IonicLiuid,Cation,Anion,T(K),IL_SMILES,ST(exp),CSMILES,ASMILES,MolecularFormula,C,H,N,O,S,P,F,Cl,Br,I
[MMIM],"1,3-dimethylimidazolium ([MMIM]+)",dicynamide ([DCN]-),298.15,CN1C=C[N+](C)=C1.N#C[N-]C#N,61.6,CN1C=C[N+](C)=C1,N#C[N-]C#N,C7H9N5,7,9,5,0,0,0,0,0,0,0
[MMIM][Glu],"1,3-dimethylimidazolium ([MMIM]+)",glutamate ([Glu]-),298.15,CN1C=C[N+](C)=C1.NC(CCC(O)O)C(O)[O-],76.2,CN1C=C[N+](C)=C1,NC(CCC(O)O)C(O)[O-],C10H21N3O4,10,21,3,4,0,0,0,0,0,0
[MMIM][MeSO4],"1,3-dimethylimidazolium ([MMIM]+)",methyl sulfate ([MeSO4]-),288.15,CN1C=C[N+](C)=C1.COS([O-])(=O)=O,60.9,CN1C=C[N+](C)=C1,COS([O-])(=O)=O,C6H12N2O4S,6,12,2,4,1,0,0,0,0,0
,,,298.15,CN1C=C[N+](C)=C1.COS([O-])(=O)=O,59.8,CN1C=C[N+](C)=C1,COS([O-])(=O)=O,C6H12N2O4S,6,12,2,4,1,0,0,0,0,0
,,,308.15,CN1C=C[N+](C)=C1.COS([O-])(=O)=O,59.1,CN1C=C[N+](C)=C1,COS([O-])(=O)=O,C6H12N2O4S,6,12,2,4,1,0,0,0,0,0
,,,313.15,CN1C=C[N+](C)=C1.COS([O-])(=O)=O,58.9,CN1C=C[N+](C)=C1,COS([O-])(=O)=O,C6H12N2O4S,6,12,2,4,1,0,0,0,0,0
[MMIM][DMP],"1,3-dimethylimidazolium ([MMIM]+)",dimethylphosphate ([DMP]-),293.15,CN1C=C[N+](C)=C1.COP([O-])(=O)OC,47.42,CN1C=C[N+](C)=C1,COP([O-])(=O)OC,C7H15N2O4P,7,15,2,4,0,1,0,0,0,0
,,,298.15,CN1C=C[N+](C)=C1.COP([O-])(=O)OC,47.09,CN1C=C[N+](C)=C1,COP([O-])(=O)OC,C7H15N2O4P,7,15,2,4,0,1,0,0,0,0
,,,308.15,CN1C=C[N+](C)=C1.COP([O-])(=O)OC,46.28,CN1C=C[N+](C)=C1,COP([O-])(=O)OC,C7H15N2O4P,7,15,2,4,0,1,0,0,0,0
,,,318.15,CN1C=C[N+](C)=C1.COP([O-])(=O)OC,44.44,CN1C=C[N+](C)=C1,COP([O-])(=O)OC,C7H15N2O4P,7,15,2,4,0,1,0,0,0,0
,,,328.15,CN1C=C[N+](C)=C1.COP([O-])(=O)OC,42.58,CN1C=C[N+](C)=C1,COP([O-])(=O)OC,C7H15N2O4P,7,15,2,4,0,1,0,0,0,0
,,,338.15,CN1C=C[N+](C)=C1.COP([O-])(=O)OC,41.33,CN1C=C[N+](C)=C1,COP([O-])(=O)OC,C7H15N2O4P,7,15,2,4,0,1,0,0,0,0
[Emim][BF4],1-ethyl-3-dimethylimidazolium ([EMIM]+),tetrafluoroborate ([BF4]-),298.15,CCN1C=C[N+](C)=C1.F[B-](F)(F)F,52.05,CCN1C=C[N+](C)=C1,F[B-](F)(F)F,C6H11BF4N2,6,11,2,0,0,0,4,0,0,0
,,,308.15,CCN1C=C[N+](C)=C1.F[B-](F)(F)F,51.65,CCN1C=C[N+](C)=C1,F[B-](F)(F)F,C6H11BF4N2,6,11,2,0,0,0,4,0,0,0
,,,318.15,CCN1C=C[N+](C)=C1.F[B-](F)(F)F,51.25,CCN1C=C[N+](C)=C1,F[B-](F)(F)F,C6H11BF4N2,6,11,2,0,0,0,4,0,0,0
,,,328.15,CCN1C=C[N+](C)=C1.F[B-](F)(F)F,50.85,CCN1C=C[N+](C)=C1,F[B-](F)(F)F,C6H11BF4N2,6,11,2,0,0,0,4,0,0,0
,,,338.15,CCN1C=C[N+](C)=C1.F[B-](F)(F)F,50.45,CCN1C=C[N+](C)=C1,F[B-](F)(F)F,C6H11BF4N2,6,11,2,0,0,0,4,0,0,0
[Emim][TF2N],1-ethyl-3-dimethylimidazolium ([EMIM]+),bis(trifluoromethylsulfonyl)imide ([TF2N]-),283.16,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,36.78,CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C8H11F6N3O4S2,8,11,3,4,2,0,6,0,0,0
,,,297.89,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,36.13,CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C8H11F6N3O4S2,8,11,3,4,2,0,6,0,0,0
,,,308.82,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,35.61,CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C8H11F6N3O4S2,8,11,3,4,2,0,6,0,0,0
,,,317.77,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,35.14,CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C8H11F6N3O4S2,8,11,3,4,2,0,6,0,0,0
,,,327.91,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,34.66,CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C8H11F6N3O4S2,8,11,3,4,2,0,6,0,0,0
