Ionic Liquid,Cation,Anion,Viscosity (Pa.s),Viscosity (mPa.s),ln_visc,Cation-SMILES,Anion-SMILES,IL_SMILES,Temp (K),Pressure (kPa),MolecularFormula,C,H,N,O,S,P,F,Cl,Br,I
4-(3-hydroxypropyl)-4-methylmorpholinium tricyanomethanide,4-(3-hydroxypropyl)-4-methylmorpholinium,tricyanomethanide,1.866,1866,7.531552381,C[N+]1(CCCO)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCO)CCOCC1.N#C[C-](C#N)C#N,293.15,101.325,C12H18N4O2,12,18,4,2,0,0,0,0,0,0
4-(3-hydroxypropyl)-4-methylmorpholinium tricyanomethanide,4-(3-hydroxypropyl)-4-methylmorpholinium,tricyanomethanide,1.124,1124,7.02464903,C[N+]1(CCCO)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCO)CCOCC1.N#C[C-](C#N)C#N,298.15,101.325,C12H18N4O2,12,18,4,2,0,0,0,0,0,0
4-(3-hydroxypropyl)-4-methylmorpholinium tricyanomethanide,4-(3-hydroxypropyl)-4-methylmorpholinium,tricyanomethanide,0.707,707,6.561030666,C[N+]1(CCCO)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCO)CCOCC1.N#C[C-](C#N)C#N,303.15,101.325,C12H18N4O2,12,18,4,2,0,0,0,0,0,0
4-(3-hydroxypropyl)-4-methylmorpholinium tricyanomethanide,4-(3-hydroxypropyl)-4-methylmorpholinium,tricyanomethanide,0.463,463,6.137727054,C[N+]1(CCCO)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCO)CCOCC1.N#C[C-](C#N)C#N,308.15,101.325,C12H18N4O2,12,18,4,2,0,0,0,0,0,0
4-(3-hydroxypropyl)-4-methylmorpholinium tricyanomethanide,4-(3-hydroxypropyl)-4-methylmorpholinium,tricyanomethanide,0.316,316,5.755742214,C[N+]1(CCCO)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCO)CCOCC1.N#C[C-](C#N)C#N,313.15,101.325,C12H18N4O2,12,18,4,2,0,0,0,0,0,0
4-(3-hydroxypropyl)-4-methylmorpholinium tricyanomethanide,4-(3-hydroxypropyl)-4-methylmorpholinium,tricyanomethanide,0.223,223,5.407171771,C[N+]1(CCCO)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCO)CCOCC1.N#C[C-](C#N)C#N,318.15,101.325,C12H18N4O2,12,18,4,2,0,0,0,0,0,0
4-(3-hydroxypropyl)-4-methylmorpholinium tricyanomethanide,4-(3-hydroxypropyl)-4-methylmorpholinium,tricyanomethanide,0.161,161,5.081404365,C[N+]1(CCCO)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCO)CCOCC1.N#C[C-](C#N)C#N,323.15,101.325,C12H18N4O2,12,18,4,2,0,0,0,0,0,0
4-(3-hydroxypropyl)-4-methylmorpholinium tricyanomethanide,4-(3-hydroxypropyl)-4-methylmorpholinium,tricyanomethanide,0.121,121,4.795790546,C[N+]1(CCCO)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCO)CCOCC1.N#C[C-](C#N)C#N,328.15,101.325,C12H18N4O2,12,18,4,2,0,0,0,0,0,0
4-(3-hydroxypropyl)-4-methylmorpholinium tricyanomethanide,4-(3-hydroxypropyl)-4-methylmorpholinium,tricyanomethanide,0.0921,92.1,4.522874943,C[N+]1(CCCO)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCO)CCOCC1.N#C[C-](C#N)C#N,333.15,101.325,C12H18N4O2,12,18,4,2,0,0,0,0,0,0
4-(3-hydroxypropyl)-4-methylmorpholinium tricyanomethanide,4-(3-hydroxypropyl)-4-methylmorpholinium,tricyanomethanide,0.0718,71.8,4.273884476,C[N+]1(CCCO)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCO)CCOCC1.N#C[C-](C#N)C#N,338.15,101.325,C12H18N4O2,12,18,4,2,0,0,0,0,0,0
4-(3-hydroxypropyl)-4-methylmorpholinium tricyanomethanide,4-(3-hydroxypropyl)-4-methylmorpholinium,tricyanomethanide,0.0565,56.5,4.034240638,C[N+]1(CCCO)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCO)CCOCC1.N#C[C-](C#N)C#N,343.15,101.325,C12H18N4O2,12,18,4,2,0,0,0,0,0,0
4-(3-hydroxypropyl)-4-methylmorpholinium tricyanomethanide,4-(3-hydroxypropyl)-4-methylmorpholinium,tricyanomethanide,0.0452,45.2,3.811097087,C[N+]1(CCCO)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCO)CCOCC1.N#C[C-](C#N)C#N,348.15,101.325,C12H18N4O2,12,18,4,2,0,0,0,0,0,0
4-(3-hydroxypropyl)-4-methylmorpholinium bis(trifluoromethylsulfonyl)amide,4-(3-hydroxypropyl)-4-methylmorpholinium,bis(trifluoromethylsulfonyl)amide,1.183,1183,7.075808864,C[N+]1(CCCO)CCOCC1,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C[N+]1(CCCO)CCOCC1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,298.15,101.325,C10H18F6N2O6S2,10,18,2,6,2,0,6,0,0,0
4-(3-hydroxypropyl)-4-methylmorpholinium bis(trifluoromethylsulfonyl)amide,4-(3-hydroxypropyl)-4-methylmorpholinium,bis(trifluoromethylsulfonyl)amide,0.566,566,6.338594078,C[N+]1(CCCO)CCOCC1,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C[N+]1(CCCO)CCOCC1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,308.15,101.325,C10H18F6N2O6S2,10,18,2,6,2,0,6,0,0,0
4-(3-hydroxypropyl)-4-methylmorpholinium bis(trifluoromethylsulfonyl)amide,4-(3-hydroxypropyl)-4-methylmorpholinium,bis(trifluoromethylsulfonyl)amide,0.281,281,5.638354669,C[N+]1(CCCO)CCOCC1,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C[N+]1(CCCO)CCOCC1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,318.15,101.325,C10H18F6N2O6S2,10,18,2,6,2,0,6,0,0,0
4-(3-hydroxypropyl)-4-methylmorpholinium bis(trifluoromethylsulfonyl)amide,4-(3-hydroxypropyl)-4-methylmorpholinium,bis(trifluoromethylsulfonyl)amide,0.1561,156.1,5.050496828,C[N+]1(CCCO)CCOCC1,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C[N+]1(CCCO)CCOCC1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,328.15,101.325,C10H18F6N2O6S2,10,18,2,6,2,0,6,0,0,0
4-(3-hydroxypropyl)-4-methylmorpholinium bis(trifluoromethylsulfonyl)amide,4-(3-hydroxypropyl)-4-methylmorpholinium,bis(trifluoromethylsulfonyl)amide,0.0945,94.5,4.548599834,C[N+]1(CCCO)CCOCC1,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C[N+]1(CCCO)CCOCC1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,338.15,101.325,C10H18F6N2O6S2,10,18,2,6,2,0,6,0,0,0
4-(3-hydroxypropyl)-4-methylmorpholinium bis(trifluoromethylsulfonyl)amide,4-(3-hydroxypropyl)-4-methylmorpholinium,bis(trifluoromethylsulfonyl)amide,0.0611,61.1,4.112511866,C[N+]1(CCCO)CCOCC1,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C[N+]1(CCCO)CCOCC1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,348.15,101.325,C10H18F6N2O6S2,10,18,2,6,2,0,6,0,0,0
4-(3-hydroxypropyl)-4-methylmorpholinium bis(trifluoromethylsulfonyl)amide,4-(3-hydroxypropyl)-4-methylmorpholinium,bis(trifluoromethylsulfonyl)amide,0.0378,37.8,3.632309103,C[N+]1(CCCO)CCOCC1,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C[N+]1(CCCO)CCOCC1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,358.15,101.325,C10H18F6N2O6S2,10,18,2,6,2,0,6,0,0,0
4-(3-hydroxypropyl)-4-methylmorpholinium bis(trifluoromethylsulfonyl)amide,4-(3-hydroxypropyl)-4-methylmorpholinium,bis(trifluoromethylsulfonyl)amide,0.02709,27.09,3.299164656,C[N+]1(CCCO)CCOCC1,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C[N+]1(CCCO)CCOCC1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,368.15,101.325,C10H18F6N2O6S2,10,18,2,6,2,0,6,0,0,0
4-(3-cyanopropyl)-4-methylmorpholinium tricyanomethanide,4-(3-cyanopropyl)-4-methylmorpholinium,tricyanomethanide,0.257,257,5.549076085,C[N+]1(CCCC#N)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCC#N)CCOCC1.N#C[C-](C#N)C#N,328.15,101.325,C13H17N5O,13,17,5,1,0,0,0,0,0,0
4-(3-cyanopropyl)-4-methylmorpholinium tricyanomethanide,4-(3-cyanopropyl)-4-methylmorpholinium,tricyanomethanide,0.187,187,5.231108617,C[N+]1(CCCC#N)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCC#N)CCOCC1.N#C[C-](C#N)C#N,333.15,101.325,C13H17N5O,13,17,5,1,0,0,0,0,0,0
4-(3-cyanopropyl)-4-methylmorpholinium tricyanomethanide,4-(3-cyanopropyl)-4-methylmorpholinium,tricyanomethanide,0.141,141,4.94875989,C[N+]1(CCCC#N)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCC#N)CCOCC1.N#C[C-](C#N)C#N,338.15,101.325,C13H17N5O,13,17,5,1,0,0,0,0,0,0
4-(3-cyanopropyl)-4-methylmorpholinium tricyanomethanide,4-(3-cyanopropyl)-4-methylmorpholinium,tricyanomethanide,0.109,109,4.691347882,C[N+]1(CCCC#N)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCC#N)CCOCC1.N#C[C-](C#N)C#N,343.15,101.325,C13H17N5O,13,17,5,1,0,0,0,0,0,0
4-(3-cyanopropyl)-4-methylmorpholinium tricyanomethanide,4-(3-cyanopropyl)-4-methylmorpholinium,tricyanomethanide,0.0846,84.6,4.437934267,C[N+]1(CCCC#N)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCC#N)CCOCC1.N#C[C-](C#N)C#N,348.15,101.325,C13H17N5O,13,17,5,1,0,0,0,0,0,0
4-hexyl-4-methylmorpholinium tricyanomethanide,4-hexyl-4-methylmorpholinium,tricyanomethanide,0.459,459,6.12905021,C[N+]1(CCCCCC)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCCCC)CCOCC1.N#C[C-](C#N)C#N,293.15,100,C15H24N4O,15,24,4,1,0,0,0,0,0,0
4-hexyl-4-methylmorpholinium tricyanomethanide,4-hexyl-4-methylmorpholinium,tricyanomethanide,0.31,310,5.736572297,C[N+]1(CCCCCC)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCCCC)CCOCC1.N#C[C-](C#N)C#N,298.15,100,C15H24N4O,15,24,4,1,0,0,0,0,0,0
4-hexyl-4-methylmorpholinium tricyanomethanide,4-hexyl-4-methylmorpholinium,tricyanomethanide,0.218,218,5.384495063,C[N+]1(CCCCCC)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCCCC)CCOCC1.N#C[C-](C#N)C#N,303.15,100,C15H24N4O,15,24,4,1,0,0,0,0,0,0
4-hexyl-4-methylmorpholinium tricyanomethanide,4-hexyl-4-methylmorpholinium,tricyanomethanide,0.158,158,5.062595033,C[N+]1(CCCCCC)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCCCC)CCOCC1.N#C[C-](C#N)C#N,308.15,100,C15H24N4O,15,24,4,1,0,0,0,0,0,0
